,Workflow,mode,ncores,node,ConsumedEnergy,ConsumedEnergy,ConsumedEnergy,ConsumedEnergy,ConsumedEnergy,ConsumedEnergy,ConsumedEnergy,ConsumedEnergy,AveRSS,AveRSS,AveRSS,AveRSS,AveRSS,AveRSS,AveRSS,AveRSS,AveDiskRead,AveDiskRead,AveDiskRead,AveDiskRead,AveDiskRead,AveDiskRead,AveDiskRead,AveDiskRead,AveDiskWrite,AveDiskWrite,AveDiskWrite,AveDiskWrite,AveDiskWrite,AveDiskWrite,AveDiskWrite,AveDiskWrite,AveVMSize,AveVMSize,AveVMSize,AveVMSize,AveVMSize,AveVMSize,AveVMSize,AveVMSize,NCPUS,NCPUS,NCPUS,NCPUS,NCPUS,NCPUS,NCPUS,NCPUS,trial,trial,trial,trial,trial,trial,trial,trial,ConsumedEnergyK,ConsumedEnergyK,ConsumedEnergyK,ConsumedEnergyK,ConsumedEnergyK,ConsumedEnergyK,ConsumedEnergyK,ConsumedEnergyK,ConsumedEnergyM,ConsumedEnergyM,ConsumedEnergyM,ConsumedEnergyM,ConsumedEnergyM,ConsumedEnergyM,ConsumedEnergyM,ConsumedEnergyM,ConsumedEnergyG,ConsumedEnergyG,ConsumedEnergyG,ConsumedEnergyG,ConsumedEnergyG,ConsumedEnergyG,ConsumedEnergyG,ConsumedEnergyG,AveRSSK,AveRSSK,AveRSSK,AveRSSK,AveRSSK,AveRSSK,AveRSSK,AveRSSK,AveRSSM,AveRSSM,AveRSSM,AveRSSM,AveRSSM,AveRSSM,AveRSSM,AveRSSM,AveRSSG,AveRSSG,AveRSSG,AveRSSG,AveRSSG,AveRSSG,AveRSSG,AveRSSG,AveDiskReadK,AveDiskReadK,AveDiskReadK,AveDiskReadK,AveDiskReadK,AveDiskReadK,AveDiskReadK,AveDiskReadK,AveDiskReadM,AveDiskReadM,AveDiskReadM,AveDiskReadM,AveDiskReadM,AveDiskReadM,AveDiskReadM,AveDiskReadM,AveDiskReadG,AveDiskReadG,AveDiskReadG,AveDiskReadG,AveDiskReadG,AveDiskReadG,AveDiskReadG,AveDiskReadG,AveDiskWriteK,AveDiskWriteK,AveDiskWriteK,AveDiskWriteK,AveDiskWriteK,AveDiskWriteK,AveDiskWriteK,AveDiskWriteK,AveDiskWriteM,AveDiskWriteM,AveDiskWriteM,AveDiskWriteM,AveDiskWriteM,AveDiskWriteM,AveDiskWriteM,AveDiskWriteM,AveDiskWriteG,AveDiskWriteG,AveDiskWriteG,AveDiskWriteG,AveDiskWriteG,AveDiskWriteG,AveDiskWriteG,AveDiskWriteG,AveVMSizeK,AveVMSizeK,AveVMSizeK,AveVMSizeK,AveVMSizeK,AveVMSizeK,AveVMSizeK,AveVMSizeK,AveVMSizeM,AveVMSizeM,AveVMSizeM,AveVMSizeM,AveVMSizeM,AveVMSizeM,AveVMSizeM,AveVMSizeM,AveVMSizeG,AveVMSizeG,AveVMSizeG,AveVMSizeG,AveVMSizeG,AveVMSizeG,AveVMSizeG,AveVMSizeG,ElapsedSeconds,ElapsedSeconds,ElapsedSeconds,ElapsedSeconds,ElapsedSeconds,ElapsedSeconds,ElapsedSeconds,ElapsedSeconds,ElapsedMinutes,ElapsedMinutes,ElapsedMinutes,ElapsedMinutes,ElapsedMinutes,ElapsedMinutes,ElapsedMinutes,ElapsedMinutes,ElapsedHours,ElapsedHours,ElapsedHours,ElapsedHours,ElapsedHours,ElapsedHours,ElapsedHours,ElapsedHours
,,,,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
0,daa,local,4,gl2,10.0,3038000.0,7888.106377466155,3030000.0,3030000.0,3040000.0,3040000.0,3050000.0,10.0,1192352400.0,38143231.92972043,1164340000.0,1171229000.0,1184952000.0,1191856000.0,1296320000.0,10.0,88382788000.0,1102711.808830092,88381860000.0,88381940000.0,88381970000.0,88383997500.0,88384200000.0,10.0,12729980000.0,1600388.84163957,12728720000.0,12728740000.0,12728755000.0,12731792500.0,12731990000.0,10.0,19342806800.0,143818779.63665864,18933500000.0,19387355000.0,19388320000.0,19389116000.0,19389280000.0,10.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,10.0,7.5,4.790035954399971,1.0,3.5,7.0,11.75,14.0,10.0,3038.0,7.888106377466155,3030.0,3030.0,3040.0,3040.0,3050.0,10.0,3.038,0.007888106377466186,3.03,3.03,3.04,3.04,3.05,10.0,0.0030380000000000003,7.888106377466175e-06,0.00303,0.00303,0.00304,0.00304,0.00305,10.0,1192352.4,38143.23192972043,1164340.0,1171229.0,1184952.0,1191856.0,1296320.0,10.0,1192.3524000000002,38.143231929720415,1164.34,1171.229,1184.952,1191.856,1296.32,10.0,1.1923524,0.03814323192972042,1.16434,1.1712289999999999,1.184952,1.191856,1.29632,10.0,88382788.0,1102.711808830092,88381860.0,88381940.0,88381970.0,88383997.5,88384200.0,10.0,88382.788,1.1027118088267205,88381.86,88381.94,88381.97,88383.9975,88384.2,10.0,88.382788,0.0011027118088322567,88.38186,88.38194,88.38197,88.38399749999999,88.3842,10.0,12729980.0,1600.38884163957,12728720.0,12728740.0,12728755.0,12731792.5,12731990.0,10.0,12729.98,1.600388841639707,12728.72,12728.74,12728.755000000001,12731.7925,12731.99,10.0,12.72998,0.0016003888416397307,12.72872,12.72874,12.728755,12.731792500000001,12.73199,10.0,19342806.8,143818.77963665864,18933500.0,19387355.0,19388320.0,19389116.0,19389280.0,10.0,19342.8068,143.8187796366586,18933.5,19387.355,19388.32,19389.116,19389.28,10.0,19.342806799999998,0.14381877963665896,18.9335,19.387355,19.38832,19.389116,19.38928,10.0,59528.3,377.7518438810796,58950.0,59200.25,59592.5,59759.75,60062.0,10.0,992.1383333333333,6.295864064684649,982.5,986.6708333333333,993.2083333333334,995.9958333333334,1001.0333333333333,10.0,16.53563888888889,0.10493106774474428,16.375,16.44451388888889,16.553472222222226,16.599930555555556,16.683888888888887
1,daa,local,4,gl5,8.0,6625000.0,30705.978943149537,6600000.0,6607500.0,6615000.0,6627500.0,6690000.0,8.0,1466801000.0,15391431.345301932,1443148000.0,1461756000.0,1463214000.0,1469105000.0,1495308000.0,8.0,88358037500.0,8405132.360647272,88354400000.0,88354400000.0,88354400000.0,88356562500.0,88378650000.0,8.0,12749551250.0,1546068.1698147354,12748260000.0,12748267500.0,12748750000.0,12751220000.0,12751500000.0,8.0,27515283500.0,1009978.6419241038,27513408000.0,27515133000.0,27515512000.0,27515677000.0,27516740000.0,8.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,8.0,13.5,2.449489742783178,10.0,11.75,13.5,15.25,17.0,8.0,6625.0,30.70597894314954,6600.0,6607.5,6615.0,6627.5,6690.0,8.0,6.625,0.030705978943149734,6.6,6.6075,6.615,6.6275,6.69,8.0,0.006625,3.070597894314938e-05,0.0066,0.0066075000000000005,0.006615,0.0066275,0.00669,8.0,1466801.0,15391.431345301933,1443148.0,1461756.0,1463214.0,1469105.0,1495308.0,8.0,1466.801,15.391431345301948,1443.148,1461.756,1463.214,1469.105,1495.308,8.0,1.466801,0.015391431345301939,1.443148,1.4617559999999998,1.4632139999999998,1.469105,1.495308,8.0,88358037.5,8405.132360647272,88354400.0,88354400.0,88354400.0,88356562.5,88378650.0,8.0,88358.0375,8.40513236064688,88354.4,88354.4,88354.4,88356.5625,88378.65,8.0,88.3580375,0.008405132360645355,88.3544,88.3544,88.3544,88.3565625,88.37865,8.0,12749551.25,1546.0681698147355,12748260.0,12748267.5,12748750.0,12751220.0,12751500.0,8.0,12749.55125,1.5460681698144016,12748.26,12748.2675,12748.75,12751.22,12751.5,8.0,12.74955125,0.001546068169814712,12.74826,12.7482675,12.748750000000001,12.75122,12.7515,8.0,27515283.5,1009.9786419241038,27513408.0,27515133.0,27515512.0,27515677.0,27516740.0,8.0,27515.283499999998,1.0099786419243997,27513.408,27515.132999999998,27515.512000000002,27515.677,27516.74,8.0,27.5152835,0.0010099786419244727,27.513408,27.515133,27.515512,27.515677,27.51674,8.0,63813.625,521.7881172331488,63341.0,63492.0,63549.0,64031.25,64849.0,8.0,1063.5604166666667,8.696468620552464,1055.6833333333334,1058.2,1059.15,1067.1875,1080.8166666666666,8.0,17.726006944444446,0.14494114367587455,17.594722222222224,17.636666666666667,17.6525,17.786458333333336,18.01361111111111
2,daa,local,4,gl6,10.0,7558000.0,42373.99621885521,7510000.0,7532500.0,7550000.0,7570000.0,7660000.0,10.0,1552179200.0,192548142.83578825,1449556000.0,1460518000.0,1462900000.0,1466119000.0,1917584000.0,10.0,88367455000.0,11833440.609842375,88354360000.0,88356607500.0,88368820000.0,88378610000.0,88378610000.0,10.0,12750894000.0,1176767.7010447823,12748260000.0,12751192500.0,12751480000.0,12751495000.0,12751510000.0,10.0,27516289600.0,2494255.230636102,27512264000.0,27514984000.0,27516228000.0,27518305000.0,27519800000.0,10.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,10.0,7.1,5.425249610233001,1.0,3.5,6.5,8.75,20.0,10.0,7558.0,42.37399621885521,7510.0,7532.5,7550.0,7570.0,7660.0,10.0,7.558,0.04237399621885533,7.51,7.532500000000001,7.55,7.57,7.66,10.0,0.0075580000000000005,4.237399621885524e-05,0.00751,0.0075325,0.00755,0.00757,0.00766,10.0,1552179.2,192548.14283578823,1449556.0,1460518.0,1462900.0,1466119.0,1917584.0,10.0,1552.1792000000003,192.54814283578824,1449.556,1460.518,1462.9,1466.119,1917.584,10.0,1.5521791999999999,0.1925481428357882,1.449556,1.460518,1.4629,1.466119,1.917584,10.0,88367455.0,11833.440609842373,88354360.0,88356607.5,88368820.0,88378610.0,88378610.0,10.0,88367.455,11.8334406098428,88354.36,88356.6075,88368.82,88378.61,88378.61,10.0,88.36745499999999,0.011833440609840368,88.35436,88.3566075,88.36882,88.37861,88.37861,10.0,12750894.0,1176.7677010447824,12748260.0,12751192.5,12751480.0,12751495.0,12751510.0,10.0,12750.893999999998,1.1767677010446635,12748.26,12751.192500000001,12751.48,12751.494999999999,12751.51,10.0,12.750893999999999,0.00117676770104485,12.74826,12.751192499999998,12.75148,12.751495,12.75151,10.0,27516289.6,2494.255230636102,27512264.0,27514984.0,27516228.0,27518305.0,27519800.0,10.0,27516.289599999996,2.494255230636239,27512.264,27514.984,27516.228,27518.305,27519.8,10.0,27.516289600000004,0.0024942552306366117,27.512264,27.514984,27.516227999999998,27.518305,27.5198,10.0,62160.8,346.6544228607056,61793.0,61974.0,62071.5,62270.0,62916.0,10.0,1036.0133333333335,5.7775737143450625,1029.8833333333334,1032.9,1034.525,1037.8333333333333,1048.6,10.0,17.26688888888889,0.09629289523908445,17.164722222222224,17.215000000000003,17.242083333333333,17.29722222222222,17.476666666666667
3,daa,local,8,gl2,10.0,2740000.0,4714.045207910317,2730000.0,2740000.0,2740000.0,2740000.0,2750000.0,10.0,2125156400.0,34292957.20115138,2101348000.0,2105690000.0,2110026000.0,2123941000.0,2204368000.0,10.0,88382846000.0,1157047.9678907008,88381940000.0,88381940000.0,88381970000.0,88384182500.0,88384230000.0,10.0,12730340000.0,1456823.0274584945,12728770000.0,12729027500.0,12729720000.0,12731967500.0,12732030000.0,10.0,37938984800.0,6243818.432835969,37929744000.0,37935244000.0,37938244000.0,37942556000.0,37951632000.0,10.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,10.0,7.9,5.216427044549853,2.0,4.25,7.5,9.75,20.0,10.0,2740.0,4.714045207910317,2730.0,2740.0,2740.0,2740.0,2750.0,10.0,2.7400000000000007,0.004714045207910321,2.73,2.74,2.74,2.74,2.75,10.0,0.00274,4.7140452079103295e-06,0.00273,0.00274,0.00274,0.00274,0.00275,10.0,2125156.4,34292.957201151374,2101348.0,2105690.0,2110026.0,2123941.0,2204368.0,10.0,2125.1564,34.29295720115142,2101.348,2105.69,2110.026,2123.9410000000003,2204.368,10.0,2.1251564000000003,0.03429295720115135,2.101348,2.10569,2.1100260000000004,2.1239410000000003,2.204368,10.0,88382846.0,1157.0479678907006,88381940.0,88381940.0,88381970.0,88384182.5,88384230.0,10.0,88382.84599999999,1.1570479678889705,88381.94,88381.94,88381.97,88384.1825,88384.23,10.0,88.382846,0.0011570479678933959,88.38194,88.38194,88.38197,88.38418250000001,88.38423,10.0,12730340.0,1456.8230274584946,12728770.0,12729027.5,12729720.0,12731967.5,12732030.0,10.0,12730.34,1.456823027458732,12728.77,12729.0275,12729.720000000001,12731.9675,12732.03,10.0,12.730340000000002,0.0014568230274586962,12.72877,12.729027499999999,12.72972,12.7319675,12.73203,10.0,37938984.8,6243.818432835969,37929744.0,37935244.0,37938244.0,37942556.0,37951632.0,10.0,37938.9848,6.243818432836219,37929.744,37935.244,37938.244,37942.556,37951.632,10.0,37.9389848,0.00624381843283517,37.929744,37.935244,37.938244,37.942555999999996,37.951632,10.0,46936.6,166.2496115283682,46654.0,46843.5,46953.0,47019.25,47201.0,10.0,782.2766666666666,2.77082685880612,777.5666666666667,780.725,782.55,783.6541666666667,786.6833333333333,10.0,13.037944444444445,0.04618044764676864,12.959444444444445,13.012083333333333,13.0425,13.060902777777777,13.111388888888888
4,daa,local,8,gl5,5.0,4132000.0,25884.35821108937,4110000.0000000005,4110000.0000000005,4120000.0,4160000.0,4160000.0,5.0,2615332800.0,15409541.304010317,2598848000.0,2604756000.0,2609700000.0,2631616000.0,2631744000.0,5.0,88373804000.0,10847166.911226176,88354400000.0,88378650000.0,88378650000.0,88378660000.0,88378660000.0,5.0,12751174000.0,1659888.5504756034,12748290000.0,12751500000.0,12751500000.0,12752290000.0,12752290000.0,5.0,52560007200.0,8034411.689725639,52550568000.0,52558080000.0,52558652000.0,52559940000.0,52572796000.0,5.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,5.0,12.4,2.073644135332772,10.0,11.0,12.0,14.0,15.0,5.0,4132.0,25.884358211089182,4110.000000000001,4110.000000000001,4120.0,4160.0,4160.0,5.0,4.132,0.025884358211089496,4.11,4.11,4.12,4.16,4.16,5.0,0.004131999999999999,2.5884358211088983e-05,0.004110000000000001,0.004110000000000001,0.00412,0.00416,0.00416,5.0,2615332.8,15409.541304010318,2598848.0,2604756.0,2609700.0,2631616.0,2631744.0,5.0,2615.3328,15.409541304010403,2598.848,2604.756,2609.7,2631.616,2631.744,5.0,2.6153328,0.01540954130401035,2.598848,2.604756,2.6097,2.631616,2.631744,5.0,88373804.0,10847.166911226175,88354400.0,88378650.0,88378650.0,88378660.0,88378660.0,5.0,88373.804,10.847166911228259,88354.4,88378.65,88378.65,88378.66,88378.66,5.0,88.37380399999999,0.010847166911224648,88.3544,88.37865,88.37865,88.37866,88.37866,5.0,12751174.0,1659.8885504756036,12748290.0,12751500.0,12751500.0,12752290.0,12752290.0,5.0,12751.174,1.6598885504755176,12748.29,12751.5,12751.5,12752.29,12752.29,5.0,12.751174000000002,0.0016598885504753836,12.74829,12.7515,12.7515,12.75229,12.75229,5.0,52560007.2,8034.411689725639,52550568.0,52558080.0,52558652.0,52559940.0,52572796.0,5.0,52560.00720000001,8.03441168972649,52550.568,52558.08,52558.652,52559.94,52572.796,5.0,52.560007199999994,0.008034411689724926,52.550568,52.55808,52.558652,52.55994,52.572796,5.0,36321.0,579.6291918114546,35837.0,35873.0,35991.0,36909.0,36995.0,5.0,605.35,9.66048653019092,597.2833333333333,597.8833333333333,599.85,615.15,616.5833333333334,5.0,10.089166666666667,0.16100810883651542,9.954722222222221,9.964722222222223,9.9975,10.2525,10.27638888888889
5,daa,local,8,gl6,11.0,4762727.2727272725,54606.02697338621,4700000.0,4715000.0,4780000.0,4800000.0,4840000.0,11.0,2629645454.5454545,78818947.79856381,2592384000.0,2599604000.0,2605864000.0,2608784000.0,2864184000.0,11.0,88372010909.09091,11327956.086201478,88354360000.0,88366505000.0,88378610000.0,88378630000.0,88378650000.0,11.0,12750759090.90909,1458858.8317274195,12748230000.0,12750320000.0,12751490000.0,12751490000.0,12752270000.0,11.0,52454412727.27273,367972078.2312405,51345000000.0,52562104000.0,52563264000.0,52567564000.0,52572120000.0,11.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,11.0,7.818181818181818,4.445631154699675,1.0,4.5,8.0,11.5,14.0,11.0,4762.727272727273,54.6060269733862,4700.0,4715.0,4780.0,4800.0,4840.0,11.0,4.762727272727273,0.054606026973386144,4.7,4.715,4.78,4.8,4.84,11.0,0.004762727272727273,5.460602697338609e-05,0.0047,0.0047150000000000004,0.00478,0.0048000000000000004,0.00484,11.0,2629645.4545454546,78818.94779856381,2592384.0,2599604.0,2605864.0,2608784.0,2864184.0,11.0,2629.6454545454544,78.81894779856388,2592.384,2599.604,2605.864,2608.7839999999997,2864.184,11.0,2.6296454545454546,0.07881894779856376,2.592384,2.5996040000000002,2.605864,2.608784,2.864184,11.0,88372010.9090909,11327.956086201477,88354360.0,88366505.0,88378610.0,88378630.0,88378650.0,11.0,88372.01090909091,11.327956086201347,88354.36,88366.505,88378.61,88378.63,88378.65,11.0,88.37201090909089,0.01132795608619911,88.35436,88.36650499999999,88.37861,88.37862999999999,88.37865,11.0,12750759.090909092,1458.8588317274196,12748230.0,12750320.0,12751490.0,12751490.0,12752270.0,11.0,12750.759090909092,1.4588588317274807,12748.23,12750.32,12751.49,12751.49,12752.27,11.0,12.750759090909092,0.0014588588317275344,12.74823,12.75032,12.75149,12.75149,12.75227,11.0,52454412.72727273,367972.0782312405,51345000.0,52562104.0,52563264.0,52567564.0,52572120.0,11.0,52454.41272727272,367.9720782312407,51345.0,52562.10400000001,52563.264,52567.564,52572.12,11.0,52.45441272727272,0.3679720782312404,51.345,52.562104,52.563264,52.567564000000004,52.57212,11.0,35717.818181818184,523.1244246222534,35061.0,35301.0,35849.0,36034.5,36573.0,11.0,595.2969696969697,8.718740410370888,584.35,588.3499999999999,597.4833333333333,600.575,609.55,11.0,9.921616161616162,0.14531234017284814,9.739166666666668,9.805833333333332,9.958055555555555,10.009583333333333,10.159166666666666
6,daa,local,16,gl5,8.0,2780000.0,17728.105208558365,2770000.0,2770000.0,2770000.0,2782500.0,2820000.0,8.0,4885826000.0,10921897.06180073,4863476000.0,4883758000.0,4890366000.0,4893065000.0,4894236000.0,8.0,88367657500.0,11979630.03244615,88354440000.0,88356135000.0,88369775000.0,88378710000.0,88378710000.0,8.0,12750758750.0,1496075.2225167595,12748320000.0,12750742500.0,12751560000.0,12751572500.0,12751590000.0,8.0,102373650000.0,63864130.09775407,102273988000.0,102336671000.0,102387566000.0,102420556000.0,102443484000.0,8.0,16.0,0.0,16.0,16.0,16.0,16.0,16.0,8.0,13.5,2.449489742783178,10.0,11.75,13.5,15.25,17.0,8.0,2780.0,17.728105208558365,2770.0,2770.0,2770.0,2782.5,2820.0,8.0,2.78,0.01772810520855831,2.77,2.77,2.77,2.7824999999999998,2.82,8.0,0.00278,1.7728105208558415e-05,0.00277,0.00277,0.00277,0.0027825,0.00282,8.0,4885826.0,10921.897061800732,4863476.0,4883758.0,4890366.0,4893065.0,4894236.0,8.0,4885.826,10.921897061800834,4863.476,4883.758,4890.366,4893.0650000000005,4894.236,8.0,4.885826,0.01092189706180072,4.863476,4.883758,4.890366,4.893065,4.894236,8.0,88367657.5,11979.630032446148,88354440.0,88356135.0,88369775.0,88378710.0,88378710.0,8.0,88367.6575,11.979630032449455,88354.44,88356.135,88369.775,88378.71,88378.71,8.0,88.3676575,0.011979630032446027,88.35444,88.356135,88.369775,88.37871,88.37871,8.0,12750758.75,1496.0752225167594,12748320.0,12750742.5,12751560.0,12751572.5,12751590.0,8.0,12750.75875,1.4960752225167144,12748.32,12750.7425,12751.56,12751.5725,12751.59,8.0,12.75075875,0.0014960752225167276,12.74832,12.750742500000001,12.75156,12.7515725,12.75159,8.0,102373650.0,63864.13009775407,102273988.0,102336671.0,102387566.0,102420556.0,102443484.0,8.0,102373.65,63.864130097754796,102273.988,102336.671,102387.56599999999,102420.55600000001,102443.484,8.0,102.37365,0.06386413009775324,102.273988,102.336671,102.38756599999999,102.420556,102.443484,8.0,21185.125,453.655450597855,20899.0,20922.0,20960.5,21207.75,21988.0,8.0,353.0854166666667,7.560924176630911,348.31666666666666,348.70000000000005,349.3416666666667,353.4625,366.46666666666664,8.0,5.884756944444445,0.12601540294384853,5.8052777777777775,5.8116666666666665,5.822361111111111,5.891041666666667,6.107777777777778
7,daa,local,16,gl6,10.0,3192000.0,33928.02839999859,3150000.0,3172500.0,3185000.0,3197500.0,3250000.0,10.0,4878789600.0,6285899.620932906,4869172000.0,4874848000.0,4876804000.0,4882831000.0,4889020000.0,10.0,88369344000.0,12045457.603963781,88354410000.0,88356310000.0,88378660000.0,88378660000.0,88378670000.0,10.0,12750904000.0,1406715.6389579554,12748300000.0,12751172500.0,12751530000.0,12751555000.0,12752350000.0,10.0,102389825600.0,64883439.974567726,102297764000.0,102368261000.0,102386066000.0,102392759000.0,102527152000.0,10.0,16.0,0.0,16.0,16.0,16.0,16.0,16.0,10.0,5.5,3.0276503540974917,1.0,3.25,5.5,7.75,10.0,10.0,3192.0,33.928028399998595,3150.0,3172.5,3185.0,3197.5,3250.0,10.0,3.192,0.03392802839999859,3.15,3.1725,3.185,3.1975000000000002,3.25,10.0,0.0031920000000000004,3.392802839999852e-05,0.00315,0.0031725,0.0031850000000000003,0.0031975000000000003,0.00325,10.0,4878789.6,6285.899620932906,4869172.0,4874848.0,4876804.0,4882831.0,4889020.0,10.0,4878.7896,6.285899620933136,4869.172,4874.848,4876.804,4882.831,4889.02,10.0,4.8787896,0.00628589962093299,4.869172,4.874848,4.876804,4.8828309999999995,4.88902,10.0,88369344.0,12045.457603963781,88354410.0,88356310.0,88378660.0,88378660.0,88378670.0,10.0,88369.34400000001,12.045457603964891,88354.41,88356.31,88378.66,88378.66,88378.67,10.0,88.36934399999998,0.01204545760396404,88.35441,88.35631,88.37866,88.37866,88.37867,10.0,12750904.0,1406.7156389579554,12748300.0,12751172.5,12751530.0,12751555.0,12752350.0,10.0,12750.904,1.4067156389583257,12748.3,12751.1725,12751.53,12751.555,12752.35,10.0,12.750904000000002,0.001406715638957864,12.7483,12.7511725,12.75153,12.751555,12.75235,10.0,102389825.6,64883.43997456773,102297764.0,102368261.0,102386066.0,102392759.0,102527152.0,10.0,102389.82560000001,64.88343997456877,102297.764,102368.261,102386.066,102392.759,102527.152,10.0,102.38982560000002,0.06488343997456748,102.297764,102.36826099999999,102.386066,102.392759,102.527152,10.0,21271.9,298.70031432487275,20998.0,21063.0,21168.5,21325.5,21859.0,10.0,354.53166666666664,4.978338572081215,349.96666666666664,351.05,352.80833333333334,355.425,364.31666666666666,10.0,5.908861111111111,0.08297230953468697,5.832777777777777,5.850833333333333,5.880138888888889,5.92375,6.071944444444444
8,daa,local,32,gl5,9.0,2418888.888888889,12692.955176439847,2410000.0,2410000.0,2420000.0,2420000.0,2450000.0,9.0,9457810222.222221,13249869.450090611,9443576000.0,9446368000.0,9459928000.0,9462160000.0,9485192000.0,9.0,88363978888.88889,11201812.84931645,88354440000.0,88356630000.0,88356700000.0,88378710000.0,88378710000.0,9.0,12750908888.88889,1494552.143992009,12748310000.0,12751470000.0,12751540000.0,12751550000.0,12752380000.0,9.0,201887022666.66666,148273882.4068487,201708456000.0,201818296000.0,201856912000.0,201910184000.0,202230044000.0,9.0,32.0,0.0,32.0,32.0,32.0,32.0,32.0,9.0,14.0,2.7386127875258306,10.0,12.0,14.0,16.0,18.0,9.0,2418.8888888888887,12.692955176439845,2410.0,2410.0,2420.0,2420.0,2450.0,9.0,2.418888888888889,0.012692955176439848,2.41,2.41,2.42,2.42,2.45,9.0,0.002418888888888889,1.269295517643988e-05,0.00241,0.00241,0.00242,0.00242,0.00245,9.0,9457810.222222222,13249.86945009061,9443576.0,9446368.0,9459928.0,9462160.0,9485192.0,9.0,9457.810222222222,13.249869450090326,9443.576,9446.368,9459.928,9462.16,9485.192,9.0,9.457810222222223,0.013249869450090662,9.443576,9.446368,9.459928,9.46216,9.485192,9.0,88363978.8888889,11201.81284931645,88354440.0,88356630.0,88356700.0,88378710.0,88378710.0,9.0,88363.97888888889,11.201812849318706,88354.44,88356.63,88356.7,88378.71,88378.71,9.0,88.36397888888888,0.01120181284931678,88.35444,88.35663,88.3567,88.37871,88.37871,9.0,12750908.888888888,1494.5521439920092,12748310.0,12751470.0,12751540.0,12751550.0,12752380.0,9.0,12750.908888888887,1.4945521439919396,12748.31,12751.47,12751.54,12751.55,12752.38,9.0,12.750908888888889,0.001494552143992208,12.74831,12.75147,12.75154,12.75155,12.75238,9.0,201887022.66666666,148273.88240684872,201708456.0,201818296.0,201856912.0,201910184.0,202230044.0,9.0,201887.0226666667,148.27388240684596,201708.456,201818.296,201856.912,201910.184,202230.044,9.0,201.88702266666667,0.14827388240684303,201.708456,201.818296,201.856912,201.910184,202.230044,9.0,16652.333333333332,233.34255934141117,16526.0,16566.0,16575.0,16621.0,17266.0,9.0,277.53888888888895,3.8890426556901803,275.43333333333334,276.1,276.25,277.01666666666665,287.76666666666665,9.0,4.625648148148148,0.06481737759483644,4.5905555555555555,4.6016666666666675,4.604166666666667,4.616944444444444,4.796111111111111
