Timestamp,CPU,CPU MHz
2024-01-31T12:56:09,0,800.0
2024-01-31T12:56:09,1,800.0
2024-01-31T12:56:09,2,800.0
2024-01-31T12:56:09,3,800.0
2024-01-31T12:56:09,4,800.0
2024-01-31T12:56:09,5,800.0
2024-01-31T12:56:09,6,800.0
2024-01-31T12:56:09,7,800.0
2024-01-31T12:56:09,8,800.0
2024-01-31T12:56:09,9,800.0
2024-01-31T12:56:09,10,2300.0
2024-01-31T12:56:09,11,1700.0
2024-01-31T12:56:09,12,800.0
2024-01-31T12:56:09,13,2400.0
2024-01-31T12:56:09,14,1392.521
2024-01-31T12:56:09,15,2100.0
2024-01-31T12:56:09,16,800.0
2024-01-31T12:56:09,17,1600.0
2024-01-31T12:56:09,18,800.0
2024-01-31T12:56:09,19,800.0
2024-01-31T12:56:09,20,800.0
2024-01-31T12:56:09,21,800.0
2024-01-31T12:56:09,22,2100.0
2024-01-31T12:56:09,23,800.0
2024-01-31T12:56:09,24,2700.0
2024-01-31T12:56:09,25,800.0
2024-01-31T12:56:09,26,800.0
2024-01-31T12:56:09,27,800.0
2024-01-31T12:56:09,28,2000.0
2024-01-31T12:56:09,29,800.0
2024-01-31T12:56:09,30,800.0
2024-01-31T12:56:09,31,800.0
2024-01-31T12:56:14,0,800.0
2024-01-31T12:56:14,1,800.0
2024-01-31T12:56:14,2,800.0
2024-01-31T12:56:14,3,800.0
2024-01-31T12:56:14,4,800.0
2024-01-31T12:56:14,5,800.0
2024-01-31T12:56:14,6,800.0
2024-01-31T12:56:14,7,804.862
2024-01-31T12:56:14,8,800.0
2024-01-31T12:56:14,9,3140.27
2024-01-31T12:56:14,10,800.0
2024-01-31T12:56:14,11,800.0
2024-01-31T12:56:14,12,800.0
2024-01-31T12:56:14,13,2700.0
2024-01-31T12:56:14,14,1809.585
2024-01-31T12:56:14,15,800.0
2024-01-31T12:56:14,16,800.0
2024-01-31T12:56:14,17,800.0
2024-01-31T12:56:14,18,800.0
2024-01-31T12:56:14,19,800.0
2024-01-31T12:56:14,20,800.0
2024-01-31T12:56:14,21,2100.0
2024-01-31T12:56:14,22,2100.0
2024-01-31T12:56:14,23,800.0
2024-01-31T12:56:14,24,3200.0
2024-01-31T12:56:14,25,800.0
2024-01-31T12:56:14,26,800.0
2024-01-31T12:56:14,27,3200.0
2024-01-31T12:56:14,28,2100.0
2024-01-31T12:56:14,29,800.0
2024-01-31T12:56:14,30,800.0
2024-01-31T12:56:14,31,3200.0
2024-01-31T12:56:19,0,2200.0
2024-01-31T12:56:19,1,800.0
2024-01-31T12:56:19,2,3200.0
2024-01-31T12:56:19,3,800.0
2024-01-31T12:56:19,4,3200.0
2024-01-31T12:56:19,5,3200.0
2024-01-31T12:56:19,6,800.0
2024-01-31T12:56:19,7,800.0
2024-01-31T12:56:19,8,1800.0
2024-01-31T12:56:19,9,2000.0
2024-01-31T12:56:19,10,1900.0
2024-01-31T12:56:19,11,3200.0
2024-01-31T12:56:19,12,800.0
2024-01-31T12:56:19,13,800.0
2024-01-31T12:56:19,14,1576.748
2024-01-31T12:56:19,15,2100.0
2024-01-31T12:56:19,16,800.0
2024-01-31T12:56:19,17,800.0
2024-01-31T12:56:19,18,3200.0
2024-01-31T12:56:19,19,800.0
2024-01-31T12:56:19,20,800.0
2024-01-31T12:56:19,21,3200.0
2024-01-31T12:56:19,22,3200.0
2024-01-31T12:56:19,23,800.0
2024-01-31T12:56:19,24,3200.0
2024-01-31T12:56:19,25,3200.0
2024-01-31T12:56:19,26,3200.0
2024-01-31T12:56:19,27,1700.0
2024-01-31T12:56:19,28,1600.0
2024-01-31T12:56:19,29,1559.986
2024-01-31T12:56:19,30,3200.0
2024-01-31T12:56:19,31,3200.0
2024-01-31T12:56:24,0,3200.0
2024-01-31T12:56:24,1,800.0
2024-01-31T12:56:24,2,800.0
2024-01-31T12:56:24,3,800.0
2024-01-31T12:56:24,4,3200.0
2024-01-31T12:56:24,5,800.0
2024-01-31T12:56:24,6,800.0
2024-01-31T12:56:24,7,2100.0
2024-01-31T12:56:24,8,800.0
2024-01-31T12:56:24,9,800.0
2024-01-31T12:56:24,10,800.0
2024-01-31T12:56:24,11,800.0
2024-01-31T12:56:24,12,800.0
2024-01-31T12:56:24,13,2200.0
2024-01-31T12:56:24,14,2800.0
2024-01-31T12:56:24,15,1333.57
2024-01-31T12:56:24,16,800.0
2024-01-31T12:56:24,17,800.0
2024-01-31T12:56:24,18,800.0
2024-01-31T12:56:24,19,800.0
2024-01-31T12:56:24,20,800.0
2024-01-31T12:56:24,21,1200.0
2024-01-31T12:56:24,22,800.0
2024-01-31T12:56:24,23,800.0
2024-01-31T12:56:24,24,800.0
