JobName,power_energy_pkg,power_energy_ram,perf_elapsed
dpp-local-nc2_gl6-32.cfg,530235.02,65835.14,8253.850314136
dpp-local-nc4_gl6-35.cfg,327779.49,47220.91,4368.262895246
dpp-local-nc4_gl6-40.cfg,59.72,6.72,0.863022906
dpp-local-nc8_gl6-34.cfg,217002.06,26625.52,2485.588829885
dpp-local-nc16_gl6-32.cfg,159386.6,17935.57,1598.600748205
dpp-local-nc16_gl6-35.cfg,158714.43,17831.07,1585.997049445
dpp-local-nc16_gl6-40.cfg,158725.58,17635.68,1600.222228748
dpp-local-nc32_gl6-33.cfg,138994.66,14602.9,1263.329656077
dpp-local-nc32_gl6-37.cfg,140508.41,14928.81,1284.172749515
daa-local-nc4_gl6-32.cfg,4890514.52,673071.37,62279.631726003
daa-local-nc4_gl6-33.cfg,4882567.17,676273.13,62140.212258304
daa-local-nc8_gl6-32.cfg,3197638.76,391000.86,35529.19676758
daa-local-nc16_gl6-34.cfg,2260139.49,238200.01,21199.73193642
