,Workflow,mode,ncores,node,ConsumedEnergy,ConsumedEnergy,ConsumedEnergy,ConsumedEnergy,ConsumedEnergy,ConsumedEnergy,ConsumedEnergy,ConsumedEnergy,AveRSS,AveRSS,AveRSS,AveRSS,AveRSS,AveRSS,AveRSS,AveRSS,AveDiskRead,AveDiskRead,AveDiskRead,AveDiskRead,AveDiskRead,AveDiskRead,AveDiskRead,AveDiskRead,AveDiskWrite,AveDiskWrite,AveDiskWrite,AveDiskWrite,AveDiskWrite,AveDiskWrite,AveDiskWrite,AveDiskWrite,AveVMSize,AveVMSize,AveVMSize,AveVMSize,AveVMSize,AveVMSize,AveVMSize,AveVMSize,NCPUS,NCPUS,NCPUS,NCPUS,NCPUS,NCPUS,NCPUS,NCPUS,trial,trial,trial,trial,trial,trial,trial,trial,ConsumedEnergyK,ConsumedEnergyK,ConsumedEnergyK,ConsumedEnergyK,ConsumedEnergyK,ConsumedEnergyK,ConsumedEnergyK,ConsumedEnergyK,ConsumedEnergyM,ConsumedEnergyM,ConsumedEnergyM,ConsumedEnergyM,ConsumedEnergyM,ConsumedEnergyM,ConsumedEnergyM,ConsumedEnergyM,ConsumedEnergyG,ConsumedEnergyG,ConsumedEnergyG,ConsumedEnergyG,ConsumedEnergyG,ConsumedEnergyG,ConsumedEnergyG,ConsumedEnergyG,AveRSSK,AveRSSK,AveRSSK,AveRSSK,AveRSSK,AveRSSK,AveRSSK,AveRSSK,AveRSSM,AveRSSM,AveRSSM,AveRSSM,AveRSSM,AveRSSM,AveRSSM,AveRSSM,AveRSSG,AveRSSG,AveRSSG,AveRSSG,AveRSSG,AveRSSG,AveRSSG,AveRSSG,AveDiskReadK,AveDiskReadK,AveDiskReadK,AveDiskReadK,AveDiskReadK,AveDiskReadK,AveDiskReadK,AveDiskReadK,AveDiskReadM,AveDiskReadM,AveDiskReadM,AveDiskReadM,AveDiskReadM,AveDiskReadM,AveDiskReadM,AveDiskReadM,AveDiskReadG,AveDiskReadG,AveDiskReadG,AveDiskReadG,AveDiskReadG,AveDiskReadG,AveDiskReadG,AveDiskReadG,AveDiskWriteK,AveDiskWriteK,AveDiskWriteK,AveDiskWriteK,AveDiskWriteK,AveDiskWriteK,AveDiskWriteK,AveDiskWriteK,AveDiskWriteM,AveDiskWriteM,AveDiskWriteM,AveDiskWriteM,AveDiskWriteM,AveDiskWriteM,AveDiskWriteM,AveDiskWriteM,AveDiskWriteG,AveDiskWriteG,AveDiskWriteG,AveDiskWriteG,AveDiskWriteG,AveDiskWriteG,AveDiskWriteG,AveDiskWriteG,AveVMSizeK,AveVMSizeK,AveVMSizeK,AveVMSizeK,AveVMSizeK,AveVMSizeK,AveVMSizeK,AveVMSizeK,AveVMSizeM,AveVMSizeM,AveVMSizeM,AveVMSizeM,AveVMSizeM,AveVMSizeM,AveVMSizeM,AveVMSizeM,AveVMSizeG,AveVMSizeG,AveVMSizeG,AveVMSizeG,AveVMSizeG,AveVMSizeG,AveVMSizeG,AveVMSizeG,ElapsedSeconds,ElapsedSeconds,ElapsedSeconds,ElapsedSeconds,ElapsedSeconds,ElapsedSeconds,ElapsedSeconds,ElapsedSeconds,ElapsedMinutes,ElapsedMinutes,ElapsedMinutes,ElapsedMinutes,ElapsedMinutes,ElapsedMinutes,ElapsedMinutes,ElapsedMinutes,ElapsedHours,ElapsedHours,ElapsedHours,ElapsedHours,ElapsedHours,ElapsedHours,ElapsedHours,ElapsedHours
,,,,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
0,daa,local,4,gl2,10.0,3038000.0,7888.106377466155,3030000.0,3030000.0,3040000.0,3040000.0,3050000.0,10.0,1192352400.0,38143231.92972043,1164340000.0,1171229000.0,1184952000.0,1191856000.0,1296320000.0,10.0,88382788000.0,1102711.808830092,88381860000.0,88381940000.0,88381970000.0,88383997500.0,88384200000.0,10.0,12729980000.0,1600388.84163957,12728720000.0,12728740000.0,12728755000.0,12731792500.0,12731990000.0,10.0,19342806800.0,143818779.63665864,18933500000.0,19387355000.0,19388320000.0,19389116000.0,19389280000.0,10.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,10.0,7.5,4.790035954399971,1.0,3.5,7.0,11.75,14.0,10.0,3038.0,7.888106377466155,3030.0,3030.0,3040.0,3040.0,3050.0,10.0,3.038,0.007888106377466186,3.03,3.03,3.04,3.04,3.05,10.0,0.0030380000000000003,7.888106377466175e-06,0.00303,0.00303,0.00304,0.00304,0.00305,10.0,1192352.4,38143.23192972043,1164340.0,1171229.0,1184952.0,1191856.0,1296320.0,10.0,1192.3524000000002,38.143231929720415,1164.34,1171.229,1184.952,1191.856,1296.32,10.0,1.1923524,0.03814323192972042,1.16434,1.1712289999999999,1.184952,1.191856,1.29632,10.0,88382788.0,1102.711808830092,88381860.0,88381940.0,88381970.0,88383997.5,88384200.0,10.0,88382.788,1.1027118088267205,88381.86,88381.94,88381.97,88383.9975,88384.2,10.0,88.382788,0.0011027118088322567,88.38186,88.38194,88.38197,88.38399749999999,88.3842,10.0,12729980.0,1600.38884163957,12728720.0,12728740.0,12728755.0,12731792.5,12731990.0,10.0,12729.98,1.600388841639707,12728.72,12728.74,12728.755000000001,12731.7925,12731.99,10.0,12.72998,0.0016003888416397307,12.72872,12.72874,12.728755,12.731792500000001,12.73199,10.0,19342806.8,143818.77963665864,18933500.0,19387355.0,19388320.0,19389116.0,19389280.0,10.0,19342.8068,143.8187796366586,18933.5,19387.355,19388.32,19389.116,19389.28,10.0,19.342806799999998,0.14381877963665896,18.9335,19.387355,19.38832,19.389116,19.38928,10.0,59528.3,377.7518438810796,58950.0,59200.25,59592.5,59759.75,60062.0,10.0,992.1383333333333,6.295864064684649,982.5,986.6708333333333,993.2083333333334,995.9958333333334,1001.0333333333333,10.0,16.53563888888889,0.10493106774474428,16.375,16.44451388888889,16.553472222222226,16.599930555555556,16.683888888888887
1,daa,local,4,gl5,2.0,6670000.0,28284.2712474619,6650000.0,6660000.0,6670000.0,6680000.0,6690000.0,2.0,1478388000.0,23928493.475352768,1461468000.0,1469928000.0,1478388000.0,1486848000.0,1495308000.0,2.0,88355350000.0,1343502.8842544402,88354400000.0,88354875000.0,88355350000.0,88355825000.0,88356300000.0,2.0,12749700000.0,2022325.394193526,12748270000.0,12748985000.0,12749700000.0,12750415000.0,12751130000.0,2.0,27515074000.0,2356079.7949135765,27513408000.0,27514241000.0,27515074000.0,27515907000.0,27516740000.0,2.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,2.0,11.5,0.7071067811865476,11.0,11.25,11.5,11.75,12.0,2.0,6670.0,28.284271247461902,6650.0,6660.0,6670.0,6680.0,6690.0,2.0,6.67,0.028284271247461926,6.65,6.66,6.67,6.680000000000001,6.69,2.0,0.00667,2.8284271247461973e-05,0.00665,0.006659999999999999,0.00667,0.00668,0.00669,2.0,1478388.0,23928.493475352767,1461468.0,1469928.0,1478388.0,1486848.0,1495308.0,2.0,1478.388,23.92849347535271,1461.468,1469.928,1478.388,1486.848,1495.308,2.0,1.478388,0.023928493475352832,1.461468,1.469928,1.478388,1.4868480000000002,1.495308,2.0,88355350.0,1343.5028842544402,88354400.0,88354875.0,88355350.0,88355825.0,88356300.0,2.0,88355.35,1.343502884260614,88354.4,88354.875,88355.35,88355.825,88356.3,2.0,88.35535,0.0013435028842588457,88.3544,88.35487499999999,88.35535,88.35582500000001,88.3563,2.0,12749700.0,2022.3253941935259,12748270.0,12748985.0,12749700.0,12750415.0,12751130.0,2.0,12749.7,2.0223253941926513,12748.27,12748.985,12749.7,12750.414999999999,12751.13,2.0,12.7497,0.002022325394193586,12.74827,12.748985,12.7497,12.750415,12.75113,2.0,27515074.0,2356.0797949135763,27513408.0,27514241.0,27515074.0,27515907.0,27516740.0,2.0,27515.074,2.3560797949150993,27513.408,27514.241,27515.074,27515.907,27516.74,2.0,27.515074,0.002356079794913813,27.513408,27.514241,27.515074,27.515907,27.51674,2.0,64577.0,384.66608896548183,64305.0,64441.0,64577.0,64713.0,64849.0,2.0,1076.2833333333333,6.411101482757988,1071.75,1074.0166666666667,1076.2833333333333,1078.55,1080.8166666666666,2.0,17.938055555555557,0.10685169137929963,17.8625,17.900277777777777,17.938055555555557,17.975833333333334,18.01361111111111
2,daa,local,4,gl6,9.0,7546666.666666667,23979.1576165636,7510000.0,7530000.0,7550000.0,7570000.0,7580000.0,9.0,1511578666.6666667,152199206.69964084,1449556000.0,1460336000.0,1461688000.0,1464448000.0,1917236000.0,9.0,88368577777.77777,11972970.368477676,88354360000.0,88356360000.0,88378610000.0,88378610000.0,88378610000.0,9.0,12750826666.666666,1227548.3697190916,12748260000.0,12751100000.0,12751480000.0,12751480000.0,12751510000.0,9.0,27516302222.22222,2645218.4114822056,27512264000.0,27514860000.0,27516280000.0,27518408000.0,27519800000.0,9.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,9.0,5.666666666666667,3.1622776601683795,1.0,3.0,6.0,8.0,10.0,9.0,7546.666666666667,23.979157616563597,7510.0,7530.0,7550.0,7570.0,7580.0,9.0,7.546666666666667,0.023979157616563752,7.51,7.53,7.55,7.57,7.58,9.0,0.007546666666666668,2.3979157616563663e-05,0.00751,0.00753,0.00755,0.00757,0.00758,9.0,1511578.6666666667,152199.20669964084,1449556.0,1460336.0,1461688.0,1464448.0,1917236.0,9.0,1511.578666666667,152.19920669964085,1449.556,1460.336,1461.688,1464.448,1917.236,9.0,1.5115786666666666,0.15219920669964082,1.449556,1.460336,1.461688,1.464448,1.917236,9.0,88368577.77777778,11972.970368477676,88354360.0,88356360.0,88378610.0,88378610.0,88378610.0,9.0,88368.57777777778,11.972970368478796,88354.36,88356.36,88378.61,88378.61,88378.61,9.0,88.36857777777777,0.011972970368475437,88.35436,88.35636,88.37861,88.37861,88.37861,9.0,12750826.666666666,1227.5483697190919,12748260.0,12751100.0,12751480.0,12751480.0,12751510.0,9.0,12750.826666666666,1.2275483697189546,12748.26,12751.1,12751.48,12751.48,12751.51,9.0,12.750826666666667,0.0012275483697191665,12.74826,12.7511,12.75148,12.75148,12.75151,9.0,27516302.222222224,2645.2184114822057,27512264.0,27514860.0,27516280.0,27518408.0,27519800.0,9.0,27516.30222222222,2.64521841148235,27512.264,27514.86,27516.28,27518.408,27519.8,9.0,27.516302222222222,0.0026452184114827576,27.512264,27.51486,27.51628,27.518408,27.5198,9.0,62076.88888888889,236.59746640890114,61793.0,61964.0,62050.0,62105.0,62543.0,9.0,1034.614814814815,3.943291106815024,1029.8833333333334,1032.7333333333333,1034.1666666666667,1035.0833333333333,1042.3833333333334,9.0,17.24358024691358,0.06572151844691652,17.164722222222224,17.212222222222223,17.23611111111111,17.251388888888886,17.373055555555556
3,daa,local,8,gl2,9.0,2740000.0,5000.0,2730000.0,2740000.0,2740000.0,2740000.0,2750000.0,9.0,2126827111.1111112,35938919.39264606,2101348000.0,2104756000.0,2109932000.0,2128184000.0,2204368000.0,9.0,88382943333.33333,1183015.2154558285,88381940000.0,88381940000.0,88381970000.0,88384200000.0,88384230000.0,9.0,12730405555.555555,1529469.7701418546,12728770000.0,12728810000.0,12729690000.0,12732010000.0,12732030000.0,9.0,37938869333.333336,6611235.587997149,37929744000.0,37934564000.0,37937636000.0,37943400000.0,37951632000.0,9.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,9.0,6.555555555555555,3.2058973436118907,2.0,4.0,7.0,9.0,11.0,9.0,2740.0,5.0,2730.0,2740.0,2740.0,2740.0,2750.0,9.0,2.74,0.0050000000000000044,2.73,2.74,2.74,2.74,2.75,9.0,0.00274,5.000000000000013e-06,0.00273,0.00274,0.00274,0.00274,0.00275,9.0,2126827.111111111,35938.91939264606,2101348.0,2104756.0,2109932.0,2128184.0,2204368.0,9.0,2126.827111111111,35.938919392646106,2101.348,2104.756,2109.932,2128.184,2204.368,9.0,2.126827111111111,0.03593891939264604,2.101348,2.104756,2.109932,2.128184,2.204368,9.0,88382943.33333333,1183.0152154558284,88381940.0,88381940.0,88381970.0,88384200.0,88384230.0,9.0,88382.94333333333,1.1830152154539784,88381.94,88381.94,88381.97,88384.2,88384.23,9.0,88.38294333333333,0.0011830152154582584,88.38194,88.38194,88.38197,88.3842,88.38423,9.0,12730405.555555556,1529.4697701418547,12728770.0,12728810.0,12729690.0,12732010.0,12732030.0,9.0,12730.405555555557,1.5294697701421014,12728.77,12728.81,12729.69,12732.01,12732.03,9.0,12.730405555555556,0.0015294697701420305,12.72877,12.72881,12.72969,12.73201,12.73203,9.0,37938869.333333336,6611.235587997148,37929744.0,37934564.0,37937636.0,37943400.0,37951632.0,9.0,37938.869333333336,6.611235587997447,37929.744,37934.564,37937.636,37943.4,37951.632,9.0,37.93886933333333,0.006611235587996261,37.929744,37.934564,37.937636,37.9434,37.951632,9.0,46926.77777777778,173.22945605307558,46654.0,46824.0,46919.0,47002.0,47201.0,9.0,782.1129629629629,2.8871576008845756,777.5666666666667,780.4,781.9833333333333,783.3666666666667,786.6833333333333,9.0,13.035216049382717,0.04811929334807623,12.959444444444445,13.006666666666666,13.033055555555556,13.056111111111111,13.111388888888888
4,daa,local,8,gl5,4.0,4135000.0,28867.51345948102,4110000.0000000005,4110000.0000000005,4135000.0,4160000.0,4160000.0,4.0,2619454000.0,14261019.879377492,2604756000.0,2608464000.0,2620658000.0,2631648000.0,2631744000.0,4.0,88372590000.0,12126667.582920983,88354400000.0,88372587500.0,88378650000.0,88378652500.0,88378660000.0,4.0,12750895000.0,1776147.5163960904,12748290000.0,12750697500.0,12751500000.0,12751697500.0,12752290000.0,4.0,52562367000.0,6996045.644981647,52558080000.0,52558509000.0,52559296000.0,52563154000.0,52572796000.0,4.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,4.0,13.0,1.8257418583505538,11.0,11.75,13.0,14.25,15.0,4.0,4135.0,28.86751345948076,4110.000000000001,4110.000000000001,4135.0,4160.0,4160.0,4.0,4.135,0.028867513459481187,4.11,4.11,4.135,4.16,4.16,4.0,0.004135,2.8867513459480615e-05,0.004110000000000001,0.004110000000000001,0.004135,0.00416,0.00416,4.0,2619454.0,14261.01987937749,2604756.0,2608464.0,2620658.0,2631648.0,2631744.0,4.0,2619.454,14.261019879377619,2604.756,2608.464,2620.658,2631.648,2631.744,4.0,2.619454,0.014261019879377447,2.604756,2.608464,2.620658,2.631648,2.631744,4.0,88372590.0,12126.667582920983,88354400.0,88372587.5,88378650.0,88378652.5,88378660.0,4.0,88372.59,12.126667582922538,88354.4,88372.5875,88378.65,88378.6525,88378.66,4.0,88.37259,0.012126667582919012,88.3544,88.3725875,88.37865,88.37865249999999,88.37866,4.0,12750895.0,1776.1475163960904,12748290.0,12750697.5,12751500.0,12751697.5,12752290.0,4.0,12750.895,1.776147516395892,12748.29,12750.6975,12751.5,12751.6975,12752.29,4.0,12.750895000000002,0.001776147516395809,12.74829,12.750697500000001,12.7515,12.7516975,12.75229,4.0,52562367.0,6996.045644981647,52558080.0,52558509.0,52559296.0,52563154.0,52572796.0,4.0,52562.367000000006,6.9960456449817325,52558.08,52558.509000000005,52559.296,52563.154,52572.796,4.0,52.562366999999995,0.006996045644980603,52.55808,52.558509,52.559296,52.563154,52.572796,4.0,36442.0,591.9065241516885,35873.0,35961.5,36450.0,36930.5,36995.0,4.0,607.3666666666667,9.865108735861478,597.8833333333333,599.3583333333333,607.5,615.5083333333333,616.5833333333334,4.0,10.122777777777777,0.16441847893102454,9.964722222222223,9.989305555555557,10.125,10.258472222222222,10.27638888888889
5,daa,local,8,gl6,11.0,4762727.2727272725,54606.02697338621,4700000.0,4715000.0,4780000.0,4800000.0,4840000.0,11.0,2629645454.5454545,78818947.79856381,2592384000.0,2599604000.0,2605864000.0,2608784000.0,2864184000.0,11.0,88372010909.09091,11327956.086201478,88354360000.0,88366505000.0,88378610000.0,88378630000.0,88378650000.0,11.0,12750759090.90909,1458858.8317274195,12748230000.0,12750320000.0,12751490000.0,12751490000.0,12752270000.0,11.0,52454412727.27273,367972078.2312405,51345000000.0,52562104000.0,52563264000.0,52567564000.0,52572120000.0,11.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,11.0,7.818181818181818,4.445631154699675,1.0,4.5,8.0,11.5,14.0,11.0,4762.727272727273,54.6060269733862,4700.0,4715.0,4780.0,4800.0,4840.0,11.0,4.762727272727273,0.054606026973386144,4.7,4.715,4.78,4.8,4.84,11.0,0.004762727272727273,5.460602697338609e-05,0.0047,0.0047150000000000004,0.00478,0.0048000000000000004,0.00484,11.0,2629645.4545454546,78818.94779856381,2592384.0,2599604.0,2605864.0,2608784.0,2864184.0,11.0,2629.6454545454544,78.81894779856388,2592.384,2599.604,2605.864,2608.7839999999997,2864.184,11.0,2.6296454545454546,0.07881894779856376,2.592384,2.5996040000000002,2.605864,2.608784,2.864184,11.0,88372010.9090909,11327.956086201477,88354360.0,88366505.0,88378610.0,88378630.0,88378650.0,11.0,88372.01090909091,11.327956086201347,88354.36,88366.505,88378.61,88378.63,88378.65,11.0,88.37201090909089,0.01132795608619911,88.35436,88.36650499999999,88.37861,88.37862999999999,88.37865,11.0,12750759.090909092,1458.8588317274196,12748230.0,12750320.0,12751490.0,12751490.0,12752270.0,11.0,12750.759090909092,1.4588588317274807,12748.23,12750.32,12751.49,12751.49,12752.27,11.0,12.750759090909092,0.0014588588317275344,12.74823,12.75032,12.75149,12.75149,12.75227,11.0,52454412.72727273,367972.0782312405,51345000.0,52562104.0,52563264.0,52567564.0,52572120.0,11.0,52454.41272727272,367.9720782312407,51345.0,52562.10400000001,52563.264,52567.564,52572.12,11.0,52.45441272727272,0.3679720782312404,51.345,52.562104,52.563264,52.567564000000004,52.57212,11.0,35717.818181818184,523.1244246222534,35061.0,35301.0,35849.0,36034.5,36573.0,11.0,595.2969696969697,8.718740410370888,584.35,588.3499999999999,597.4833333333333,600.575,609.55,11.0,9.921616161616162,0.14531234017284814,9.739166666666668,9.805833333333332,9.958055555555555,10.009583333333333,10.159166666666666
6,daa,local,16,gl5,2.0,2805000.0,21213.203435596424,2790000.0,2797500.0,2805000.0,2812500.0,2820000.0,2.0,4893134000.0,1558463.3457351509,4892032000.0,4892583000.0,4893134000.0,4893685000.0,4894236000.0,2.0,88366575000.0,17161481.579397507,88354440000.0,88360507500.0,88366575000.0,88372642500.0,88378710000.0,2.0,12749960000.0,2276883.835420683,12748350000.0,12749155000.0,12749960000.0,12750765000.0,12751570000.0,2.0,102429538000.0,19722622.340855185,102415592000.0,102422565000.0,102429538000.0,102436511000.0,102443484000.0,2.0,16.0,0.0,16.0,16.0,16.0,16.0,16.0,2.0,11.5,0.7071067811865476,11.0,11.25,11.5,11.75,12.0,2.0,2805.0,21.213203435596427,2790.0,2797.5,2805.0,2812.5,2820.0,2.0,2.8049999999999997,0.021213203435596288,2.79,2.7975,2.8049999999999997,2.8125,2.82,2.0,0.002805,2.1213203435596482e-05,0.00279,0.0027975,0.002805,0.0028125,0.00282,2.0,4893134.0,1558.4633457351508,4892032.0,4892583.0,4893134.0,4893685.0,4894236.0,2.0,4893.134,1.5584633457349553,4892.032,4892.5830000000005,4893.134,4893.6849999999995,4894.236,2.0,4.893134,0.0015584633457350608,4.892032,4.892583,4.893134,4.8936850000000005,4.894236,2.0,88366575.0,17161.481579397507,88354440.0,88360507.5,88366575.0,88372642.5,88378710.0,2.0,88366.57500000001,17.161481579400387,88354.44,88360.5075,88366.57500000001,88372.6425,88378.71,2.0,88.366575,0.01716148157939846,88.35444,88.3605075,88.366575,88.3726425,88.37871,2.0,12749960.0,2276.883835420683,12748350.0,12749155.0,12749960.0,12750765.0,12751570.0,2.0,12749.96,2.2768838354202203,12748.35,12749.155,12749.96,12750.765,12751.57,2.0,12.74996,0.0022768838354198986,12.74835,12.749155,12.74996,12.750765,12.75157,2.0,102429538.0,19722.622340855185,102415592.0,102422565.0,102429538.0,102436511.0,102443484.0,2.0,102429.538,19.722622340849917,102415.592,102422.565,102429.538,102436.511,102443.484,2.0,102.42953800000001,0.01972262234085112,102.415592,102.422565,102.42953800000001,102.436511,102.443484,2.0,21915.5,102.5304832720494,21843.0,21879.25,21915.5,21951.75,21988.0,2.0,365.2583333333333,1.708841387867463,364.05,364.6541666666667,365.2583333333333,365.86249999999995,366.46666666666664,2.0,6.087638888888889,0.02848068979779155,6.0675,6.077569444444444,6.087638888888889,6.097708333333333,6.107777777777778
7,daa,local,16,gl6,10.0,3192000.0,33928.02839999859,3150000.0,3172500.0,3185000.0,3197500.0,3250000.0,10.0,4878789600.0,6285899.620932906,4869172000.0,4874848000.0,4876804000.0,4882831000.0,4889020000.0,10.0,88369344000.0,12045457.603963781,88354410000.0,88356310000.0,88378660000.0,88378660000.0,88378670000.0,10.0,12750904000.0,1406715.6389579554,12748300000.0,12751172500.0,12751530000.0,12751555000.0,12752350000.0,10.0,102389825600.0,64883439.974567726,102297764000.0,102368261000.0,102386066000.0,102392759000.0,102527152000.0,10.0,16.0,0.0,16.0,16.0,16.0,16.0,16.0,10.0,5.5,3.0276503540974917,1.0,3.25,5.5,7.75,10.0,10.0,3192.0,33.928028399998595,3150.0,3172.5,3185.0,3197.5,3250.0,10.0,3.192,0.03392802839999859,3.15,3.1725,3.185,3.1975000000000002,3.25,10.0,0.0031920000000000004,3.392802839999852e-05,0.00315,0.0031725,0.0031850000000000003,0.0031975000000000003,0.00325,10.0,4878789.6,6285.899620932906,4869172.0,4874848.0,4876804.0,4882831.0,4889020.0,10.0,4878.7896,6.285899620933136,4869.172,4874.848,4876.804,4882.831,4889.02,10.0,4.8787896,0.00628589962093299,4.869172,4.874848,4.876804,4.8828309999999995,4.88902,10.0,88369344.0,12045.457603963781,88354410.0,88356310.0,88378660.0,88378660.0,88378670.0,10.0,88369.34400000001,12.045457603964891,88354.41,88356.31,88378.66,88378.66,88378.67,10.0,88.36934399999998,0.01204545760396404,88.35441,88.35631,88.37866,88.37866,88.37867,10.0,12750904.0,1406.7156389579554,12748300.0,12751172.5,12751530.0,12751555.0,12752350.0,10.0,12750.904,1.4067156389583257,12748.3,12751.1725,12751.53,12751.555,12752.35,10.0,12.750904000000002,0.001406715638957864,12.7483,12.7511725,12.75153,12.751555,12.75235,10.0,102389825.6,64883.43997456773,102297764.0,102368261.0,102386066.0,102392759.0,102527152.0,10.0,102389.82560000001,64.88343997456877,102297.764,102368.261,102386.066,102392.759,102527.152,10.0,102.38982560000002,0.06488343997456748,102.297764,102.36826099999999,102.386066,102.392759,102.527152,10.0,21271.9,298.70031432487275,20998.0,21063.0,21168.5,21325.5,21859.0,10.0,354.53166666666664,4.978338572081215,349.96666666666664,351.05,352.80833333333334,355.425,364.31666666666666,10.0,5.908861111111111,0.08297230953468697,5.832777777777777,5.850833333333333,5.880138888888889,5.92375,6.071944444444444
8,daa,local,32,gl5,1.0,2450000.0,,2450000.0,2450000.0,2450000.0,2450000.0,2450000.0,1.0,9466900000.0,,9466900000.0,9466900000.0,9466900000.0,9466900000.0,9466900000.0,1.0,88378710000.0,,88378710000.0,88378710000.0,88378710000.0,88378710000.0,88378710000.0,1.0,12752380000.0,,12752380000.0,12752380000.0,12752380000.0,12752380000.0,12752380000.0,1.0,201856912000.0,,201856912000.0,201856912000.0,201856912000.0,201856912000.0,201856912000.0,1.0,32.0,,32.0,32.0,32.0,32.0,32.0,1.0,11.0,,11.0,11.0,11.0,11.0,11.0,1.0,2450.0,,2450.0,2450.0,2450.0,2450.0,2450.0,1.0,2.45,,2.45,2.45,2.45,2.45,2.45,1.0,0.00245,,0.00245,0.00245,0.00245,0.00245,0.00245,1.0,9466900.0,,9466900.0,9466900.0,9466900.0,9466900.0,9466900.0,1.0,9466.9,,9466.9,9466.9,9466.9,9466.9,9466.9,1.0,9.4669,,9.4669,9.4669,9.4669,9.4669,9.4669,1.0,88378710.0,,88378710.0,88378710.0,88378710.0,88378710.0,88378710.0,1.0,88378.71,,88378.71,88378.71,88378.71,88378.71,88378.71,1.0,88.37871,,88.37871,88.37871,88.37871,88.37871,88.37871,1.0,12752380.0,,12752380.0,12752380.0,12752380.0,12752380.0,12752380.0,1.0,12752.38,,12752.38,12752.38,12752.38,12752.38,12752.38,1.0,12.75238,,12.75238,12.75238,12.75238,12.75238,12.75238,1.0,201856912.0,,201856912.0,201856912.0,201856912.0,201856912.0,201856912.0,1.0,201856.912,,201856.912,201856.912,201856.912,201856.912,201856.912,1.0,201.856912,,201.856912,201.856912,201.856912,201.856912,201.856912,1.0,17266.0,,17266.0,17266.0,17266.0,17266.0,17266.0,1.0,287.76666666666665,,287.76666666666665,287.76666666666665,287.76666666666665,287.76666666666665,287.76666666666665,1.0,4.796111111111111,,4.796111111111111,4.796111111111111,4.796111111111111,4.796111111111111,4.796111111111111
